Source,Target,Type,Id,Label,Weight
2,1,Undirected,0,,1.00
3,1,Undirected,1,,1.00
3,2,Undirected,2,,1.00
4,1,Undirected,3,,1.00
4,2,Undirected,4,,1.00
4,3,Undirected,5,,1.00
5,1,Undirected,6,,1.00
6,1,Undirected,7,,1.00
7,1,Undirected,8,,1.00
7,5,Undirected,9,,1.00
7,6,Undirected,10,,1.00
8,1,Undirected,11,,1.00
8,2,Undirected,12,,1.00
8,3,Undirected,13,,1.00
8,4,Undirected,14,,1.00
9,1,Undirected,15,,1.00
9,3,Undirected,16,,1.00
10,3,Undirected,17,,1.00
11,1,Undirected,18,,1.00
11,5,Undirected,19,,1.00
11,6,Undirected,20,,1.00
12,1,Undirected,21,,1.00
13,1,Undirected,22,,1.00
13,4,Undirected,23,,1.00
14,1,Undirected,24,,1.00
14,2,Undirected,25,,1.00
14,3,Undirected,26,,1.00
14,4,Undirected,27,,1.00
17,6,Undirected,28,,1.00
17,7,Undirected,29,,1.00
18,1,Undirected,30,,1.00
18,2,Undirected,31,,1.00
20,1,Undirected,32,,1.00
20,2,Undirected,33,,1.00
22,1,Undirected,34,,1.00
22,2,Undirected,35,,1.00
26,24,Undirected,36,,1.00
26,25,Undirected,37,,1.00
28,3,Undirected,38,,1.00
28,24,Undirected,39,,1.00
28,25,Undirected,40,,1.00
29,3,Undirected,41,,1.00
30,24,Undirected,42,,1.00
30,27,Undirected,43,,1.00
31,2,Undirected,44,,1.00
31,9,Undirected,45,,1.00
32,1,Undirected,46,,1.00
32,25,Undirected,47,,1.00
32,26,Undirected,48,,1.00
32,29,Undirected,49,,1.00
33,3,Undirected,50,,1.00
33,9,Undirected,51,,1.00
33,15,Undirected,52,,1.00
33,16,Undirected,53,,1.00
33,19,Undirected,54,,1.00
33,21,Undirected,55,,1.00
33,23,Undirected,56,,1.00
33,24,Undirected,57,,1.00
33,30,Undirected,58,,1.00
33,31,Undirected,59,,1.00
33,32,Undirected,60,,1.00
34,9,Undirected,61,,1.00
34,10,Undirected,62,,1.00
34,14,Undirected,63,,1.00
34,15,Undirected,64,,1.00
34,16,Undirected,65,,1.00
34,19,Undirected,66,,1.00
34,20,Undirected,67,,1.00
34,21,Undirected,68,,1.00
34,23,Undirected,69,,1.00
34,24,Undirected,70,,1.00
34,27,Undirected,71,,1.00
34,28,Undirected,72,,1.00
34,29,Undirected,73,,1.00
34,30,Undirected,74,,1.00
34,31,Undirected,75,,1.00
34,32,Undirected,76,,1.00
34,33,Undirected,77,,1.00
