Label,,Eigencentrality
numpy-1.24.2,,1
requests-2.28.2,,0.906595
six-1.16.0,,0.460884
pandas-2.0.0,,0.40139
scipy-1.10.1,,0.396154
pyyaml-6.0,,0.307602
matplotlib-3.7.1,,0.303955
click-8.1.3,,0.284052
python-dateutil-2.8.2,,0.233324
setuptools-67.6.1,,0.227336
numpy-1.23.5,,0.190205
tqdm-4.65.0,,0.187177
packaging-23.1,,0.169708
urllib3-1.26.15,,0.151327
typing-extensions-4.5.0,,0.144494
pillow-9.5.0,,0.143346
lxml-4.9.2,,0.137689
jinja2-3.1.2,,0.135935
protobuf-4.22.3,,0.131329
scikit-learn-1.2.2,,0.125173
certifi-2022.12.7,,0.123986
pytz-2023.3,,0.121442
beautifulsoup4-4.12.2,,0.114436
aiohttp-3.8.4,,0.108095
