Label,Pageranks
requests-2.28.2,0.025964
numpy-1.24.2,0.024948
six-1.16.0,0.020897
setuptools-67.6.1,0.008323
click-8.1.3,0.007014
pyyaml-6.0,0.006842
cffi-1.15.1,0.00673
pandas-2.0.0,0.006316
scipy-1.10.1,0.006276
numpy-1.23.5,0.005681
python-dateutil-2.8.2,0.005547
typing-extensions-4.5.0,0.004811
matplotlib-3.7.1,0.004566
urllib3-1.26.15,0.004022
huaweicloudsdkcore-3.1.36,0.003919
certifi-2022.12.7,0.003763
packaging-23.1,0.00359
protobuf-4.22.3,0.00359
idna-3.4,0.003475
cryptography-40.0.2,0.003152
pytz-2023.3,0.003114
lxml-4.9.2,0.003007
pycparser-2.21,0.002986
pillow-9.5.0,0.002966
